CMDLINE C:\ProgramData\Miniconda3\python.exe camera.py
MEM 759.269531 1628790209.5347
MEM 759.269531 1628790209.6359
MEM 759.269531 1628790209.7359
MEM 759.269531 1628790209.8379
MEM 759.269531 1628790209.9379
MEM 759.269531 1628790210.0380
MEM 759.269531 1628790210.1380
MEM 759.269531 1628790210.2380
MEM 759.269531 1628790210.3400
MEM 759.269531 1628790210.4420
MEM 759.269531 1628790210.5420
MEM 759.269531 1628790210.6435
MEM 759.269531 1628790210.7455
MEM 759.269531 1628790210.8467
MEM 759.269531 1628790210.9467
MEM 759.269531 1628790211.0487
MEM 759.269531 1628790211.1507
MEM 759.269531 1628790211.2507
MEM 759.269531 1628790211.3527
MEM 759.269531 1628790211.4533
MEM 759.269531 1628790211.5545
MEM 759.269531 1628790211.6565
MEM 759.269531 1628790211.7567
MEM 759.269531 1628790211.8580
MEM 759.269531 1628790211.9580
MEM 759.269531 1628790212.0580
MEM 759.269531 1628790212.1600
MEM 759.269531 1628790212.2600
MEM 759.269531 1628790212.3620
MEM 759.269531 1628790212.4640
MEM 759.269531 1628790212.5640
MEM 759.269531 1628790212.6660
MEM 759.269531 1628790212.7680
MEM 759.269531 1628790212.8680
MEM 759.269531 1628790212.9680
MEM 759.269531 1628790213.0700
MEM 759.269531 1628790213.1720
MEM 759.269531 1628790213.2720
MEM 759.269531 1628790213.3740
MEM 759.269531 1628790213.4740
MEM 759.269531 1628790213.5760
MEM 759.269531 1628790213.6760
MEM 759.269531 1628790213.7780
MEM 759.269531 1628790213.8800
MEM 759.273438 1628790213.9820
MEM 759.273438 1628790214.0840
MEM 759.273438 1628790214.1850
MEM 759.273438 1628790214.2863
MEM 759.273438 1628790214.3883
MEM 759.273438 1628790214.4903
MEM 759.273438 1628790214.5923
MEM 759.273438 1628790214.6923
MEM 759.273438 1628790214.7943
MEM 759.273438 1628790214.8943
MEM 759.273438 1628790214.9963
MEM 759.273438 1628790215.0983
MEM 759.273438 1628790215.1983
MEM 759.273438 1628790215.3003
MEM 759.273438 1628790215.4003
MEM 759.273438 1628790215.5023
MEM 759.273438 1628790215.6023
MEM 759.273438 1628790215.7043
MEM 759.273438 1628790215.8063
MEM 759.273438 1628790215.9083
MEM 759.273438 1628790216.0103
MEM 759.273438 1628790216.1103
MEM 759.273438 1628790216.2103
MEM 759.273438 1628790216.3123
MEM 759.273438 1628790216.4123
MEM 759.648438 1628790216.5123
MEM 760.210938 1628790216.6123
MEM 760.460938 1628790216.7143
MEM 761.890625 1628790216.8162
MEM 762.679688 1628790216.9175
MEM 763.402344 1628790217.0195
MEM 763.402344 1628790217.1195
MEM 763.402344 1628790217.2195
MEM 763.402344 1628790217.3195
MEM 763.406250 1628790217.4195
MEM 763.406250 1628790217.5195
MEM 763.683594 1628790217.6215
MEM 763.691406 1628790217.7215
MEM 763.699219 1628790217.8215
MEM 763.449219 1628790217.9215
MEM 763.449219 1628790218.0235
MEM 763.449219 1628790218.1255
MEM 763.449219 1628790218.2275
MEM 763.449219 1628790218.3275
MEM 763.558594 1628790218.4295
MEM 763.308594 1628790218.5315
